Emotions,Path,Duration,Dataset,SampleRate,NumSamples
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_back_angry.wav,1.5390349799295486,TESS,24414,37574
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bar_angry.wav,1.6166134185303513,TESS,24414,39468
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_base_angry.wav,1.5420250675841731,TESS,24414,37647
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bath_angry.wav,1.6068649135741788,TESS,24414,39230
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bean_angry.wav,1.3951830916687147,TESS,24414,34062
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_beg_angry.wav,1.5461620381748178,TESS,24414,37748
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bite_angry.wav,1.4306135823707709,TESS,24414,34927
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_boat_angry.wav,1.326574916031785,TESS,24414,32387
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bone_angry.wav,1.6654378635209306,TESS,24414,40660
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_book_angry.wav,1.5300647169656754,TESS,24414,37355
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bought_angry.wav,1.4338084705496845,TESS,24414,35005
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_burn_angry.wav,1.6866142377324487,TESS,24414,41177
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cab_angry.wav,1.457032850004096,TESS,24414,35572
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_calm_angry.wav,1.490906856721553,TESS,24414,36399
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_came_angry.wav,1.6347177848775294,TESS,24414,39910
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cause_angry.wav,1.695830261325469,TESS,24414,41402
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chain_angry.wav,1.6010485786843613,TESS,24414,39088
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chair_angry.wav,1.6135004505611534,TESS,24414,39392
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chalk_angry.wav,1.3952240517735726,TESS,24414,34063
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chat_angry.wav,1.4478168264110756,TESS,24414,35347
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_check_angry.wav,1.6461866142377324,TESS,24414,40190
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cheek_angry.wav,1.681821905464078,TESS,24414,41060
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chief_angry.wav,1.6238223969853363,TESS,24414,39644
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_choice_angry.wav,1.5256819857458834,TESS,24414,37248
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cool_angry.wav,1.4862374047677562,TESS,24414,36285
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dab_angry.wav,1.5671745719669041,TESS,24414,38261
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_date_angry.wav,1.4569099696895225,TESS,24414,35569
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dead_angry.wav,1.4826329155402638,TESS,24414,36197
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_death_angry.wav,1.6462275743425903,TESS,24414,40191
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_deep_angry.wav,1.6120668468911281,TESS,24414,39357
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dime_angry.wav,1.6754730892111085,TESS,24414,40905
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dip_angry.wav,1.4326206275088065,TESS,24414,34976
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_ditch_angry.wav,1.5464487589088227,TESS,24414,37755
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dodge_angry.wav,1.6458589333988696,TESS,24414,40182
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dog_angry.wav,1.6904235274842303,TESS,24414,41270
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_doll_angry.wav,1.6325878594249201,TESS,24414,39858
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_door_angry.wav,1.5396903416072745,TESS,24414,37590
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_fail_angry.wav,1.5534529368395182,TESS,24414,37926
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_fall_angry.wav,1.4274186941918572,TESS,24414,34849
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_far_angry.wav,1.509297943802736,TESS,24414,36848
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_fat_angry.wav,1.564102564102564,TESS,24414,38186
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_fit_angry.wav,1.6016220201523717,TESS,24414,39102
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_five_angry.wav,1.5922831162447777,TESS,24414,38874
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_food_angry.wav,1.5340378471368887,TESS,24414,37452
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_gap_angry.wav,1.5921192758253462,TESS,24414,38870
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_gas_angry.wav,1.6492176619972148,TESS,24414,40264
angry,..\data\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_gaze_angry.wav,1.6900139264356517,TESS,24414,41260
